GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
caladrius,br.ufpb.dsc.caladrius.service,CidadeService,0,161,0,4,0,33,0,11,0,9
caladrius,br.ufpb.dsc.caladrius.service,LinhaProgramadaService,2,279,1,19,0,57,1,21,0,12
caladrius,br.ufpb.dsc.caladrius.service,ViagemService,80,552,9,27,3,114,15,24,9,12
caladrius,br.ufpb.dsc.caladrius.service,IdentidadeOauthService,4,180,3,17,2,45,3,14,0,7
caladrius,br.ufpb.dsc.caladrius.service,ConviteService,102,442,7,23,18,95,11,19,4,11
caladrius,br.ufpb.dsc.caladrius.service,UsuarioService,27,578,19,57,4,135,17,40,0,19
caladrius,br.ufpb.dsc.caladrius.service,AuditoriaService,0,183,1,11,0,52,1,15,0,10
caladrius,br.ufpb.dsc.caladrius.service,RecuperacaoSenhaService,2,118,4,8,1,26,4,8,0,6
caladrius,br.ufpb.dsc.caladrius.service,WhatsappService,2,309,3,34,1,80,3,32,0,16
caladrius,br.ufpb.dsc.caladrius.service,ParametroSistema,26,105,5,3,4,19,4,9,1,8
caladrius,br.ufpb.dsc.caladrius.service,VeiculoService,5,209,2,10,0,45,2,13,0,9
caladrius,br.ufpb.dsc.caladrius.service,ConfiguracaoService,0,95,0,4,0,22,0,12,0,10
caladrius,br.ufpb.dsc.caladrius.service,FeatureFlagService,0,221,0,18,0,49,0,19,0,10
caladrius,br.ufpb.dsc.caladrius.service,MunicipioService,0,94,0,6,0,22,0,10,0,7
caladrius,br.ufpb.dsc.caladrius.service,OnboardingService,15,109,4,8,3,28,4,4,0,2
caladrius,br.ufpb.dsc.caladrius.service,EnderecoService,11,138,3,9,1,33,3,13,0,10
caladrius,br.ufpb.dsc.caladrius.service,SolicitacaoViagemService,87,724,14,38,10,148,22,36,9,23
caladrius,br.ufpb.dsc.caladrius.service,VerificacaoService,28,343,4,14,6,78,7,21,3,16
caladrius,br.ufpb.dsc.caladrius.service,ChaveFeature,26,52,4,0,4,13,3,6,1,6
caladrius,br.ufpb.dsc.caladrius.service,NotificacaoService,0,98,0,4,0,18,0,10,0,8
caladrius,br.ufpb.dsc.caladrius.dto,PainelSemana.ItemDia,2,14,1,1,0,2,1,2,0,2
